,tg,p_5,p_10,p_15,p_20,p_25,p_30,p_40,p_50,visual_inspection,lon,lat,recordLength,recordSign,obsRecordLength,numYearsGained,yrGainedSign
34,bridgeport_usa.csv,1935,1931,1931,1872,1872,1872,1872,1872,1872,-73.182,41.173,143,125-150,45,98,90-120
35,bunbury_006_australia.csv,2007,1994,1994,1994,1966,1947,1947,1947,1966,115.64,-33.327,49,0-50,38,11,0-30
36,burnie_344a_australia.csv,1992,1947,1947,1947,1945,1945,1867,1867,1945,145.91,-41.5,70,50-75,20,50,30-60
37,cagliari_cagliari_italy.csv,2014,1957,1853,1852,1852,1852,1852,1836,1852,9.1143,39.21,163,150-180,17,146,120-160
38,calais_.csv,1982,1875,1867,1836,1836,1836,1836,1836,1872,1.8677,50.969,143,125-150,30,113,90-120
39,cambridgeii_usa.csv,1942,1931,1872,1872,1872,1872,1872,1836,1872,-76.068,38.573,143,125-150,34,109,90-120
40,cananeia_281a_brazil.csv,1985,1956,1956,1956,1956,1956,1956,1882,1956,-47.925,-25.017,59,50-75,52,7,0-30
41,capemay_usa.csv,2005,1978,1933,1933,1932,1872,1836,1836,1872,-74.96,38.968,143,125-150,42,101,90-120
42,"cape_may,nj_746a_usa.csv",1981,1932,1872,1872,1872,1872,1836,1836,1872,-74.96,38.968,143,125-150,41,102,90-120
43,cape_town_704a_south_africa.csv,2014,1992,1978,1967,1953,1953,1914,1890,1967,18.433,-33.9,48,0-50,28,20,0-30
44,carloforte_carloforte_italy.csv,2014,1957,1852,1852,1852,1852,1852,1852,1875,8.3095,39.148,140,125-150,12,128,120-160
45,cascais_209a_portugal.csv,1966,1878,1878,1854,1854,1853,1836,1836,1875,-9.4167,38.692,140,125-150,41,99,90-120
46,casey_130a_australia.csv,2013,2013,2013,2013,2013,2000,1978,1978,discard ,110.53,-66.283,,,9,,nan
47,castletownsend_835a_ireland.csv,1966,1877,1875,1875,1875,1875,1847,1836,1875,-9.1833,51.533,140,125-150,4,136,120-160
48,cedarkeyii_usa.csv,2004,2004,2004,2003,1934,1869,1869,1842,1869,-83.032,29.135,146,125-150,18,128,120-160
49,centuri_france.csv,2011,1956,1956,1956,1956,1853,1853,1836,1875,9.3498,42.966,140,125-150,4,136,120-160
50,ceuta_ceta_spain.csv,1954,1878,1854,1853,1853,1853,1836,1836,1875,-5.3167,35.9,140,125-150,65,75,60-90
51,"charleston,or_575a_usa.csv",1994,1949,1947,1901,1877,1877,1836,1836,1950,-124.32,43.345,65,50-75,34,31,30-60
52,"charleston,sc_261a_usa.csv",2003,1946,1899,1899,1850,1850,1842,1842,1875,-79.925,32.782,140,125-150,90,50,30-60
53,chatham_079a_new_zealand.csv,1994,1993,1993,1993,1948,1948,1948,1948,1948,-176.56,-43.947,67,50-75,6,61,60-90
54,cherbourg_.csv,1973,1921,1921,1836,1836,1836,1836,1836,1875,-1.6355,49.651,140,125-150,39,101,90-120
55,chesapeake_bbt_749a_usa.csv,1999,1999,1955,1955,1955,1872,1856,1836,1872,-76.113,36.967,143,125-150,38,105,90-120
56,choshigyoko_japan.csv,1945,1945,1945,1945,1945,1944,1944,1944,1944,140.87,35.75,71,50-75,38,33,30-60
57,civitavecchia_civitavecchia_italy.csv,2013,1954,1853,1853,1852,1836,1836,1836,1900,11.79,42.094,115,100-125,10,105,90-120
58,"clearwater_bch,fl_773a_usa.csv",2005,2003,1944,1944,1944,1869,1869,1850,1869,-82.832,27.977,146,125-150,17,129,120-160
59,concarneau_.csv,1965,1878,1875,1853,1836,1836,1836,1836,1875,-3.9072,47.874,140,125-150,14,126,120-160
60,"cordova_b,alaska_583b_usa.csv",1973,1944,1944,1942,1942,1942,1942,1842,1942,-145.75,60.558,73,50-75,42,31,30-60
61,coruna_coru_spain.csv,1966,1875,1875,1875,1853,1836,1836,1836,1875,-8.4,43.367,140,125-150,66,74,60-90
62,"crescent_city,ca_556a_usa.csv",2012,1949,1900,1879,1877,1836,1836,1836,1935,-124.18,41.745,80,75-100,69,11,0-30
63,cuxhaven_germany.csv,1972,1874,1866,1866,1836,1836,1836,1836,1875,8.7167,53.867,140,125-150,98,42,30-60
64,dallmann_c_682c_unconfirmed.csv,2000,2000,1995,1975,1975,1975,1952,1952,discard ,-58.683,-62.233,,,2,,nan
65,"dauphin_island,_al_763a_usa.csv",2005,2005,1969,1969,1894,1854,1854,1842,1854,-88.075,30.25,161,150-180,12,149,120-160
66,davis_173a_australia.csv,2012,2012,2012,2012,2012,2003,2003,1978,discard ,77.967,-68.45,,,15,,nan
67,delfzijl_del_nl.csv,1981,1874,1866,1866,1836,1836,1836,1836,1866,6.9331,53.326,149,125-150,45,104,90-120
68,denhelder_hel_nl.csv,1973,1875,1866,1836,1836,1836,1836,1836,1865,4.7464,52.965,150,125-150,45,105,90-120
69,devonport_p002_uk.csv,1973,1875,1875,1875,1836,1836,1836,1836,1875,-4.1852,50.368,140,125-150,22,118,90-120
70,diego_ramirez_599a_chile.csv,2014,2007,2007,1975,1956,1956,1956,1956,discard ,-68.715,-56.508,,,5,,nan
71,dieppe_.csv,2002,1875,1836,1836,1836,1836,1836,1836,1865,1.0845,49.929,150,125-150,38,112,90-120
72,donges_.csv,1965,1875,1853,1853,1853,1836,1836,1836,1875,-2.0883,47.306,140,125-150,24,116,90-120
73,dover_p012_uk.csv,1981,1875,1854,1836,1836,1836,1836,1836,1875,1.3181,51.117,140,125-150,51,89,60-90
74,"duck_pier,nc_260a_usa.csv",2003,2003,2003,2003,1933,1856,1856,1836,1875,-75.74,36.183,140,125-150,34,106,90-120
75,dunkerque_.csv,1973,1875,1854,1836,1836,1836,1836,1836,1875,2.3667,51.048,140,125-150,41,99,90-120
76,"dutch_harbor_b,ak_041b_usa.csv",1976,1944,1944,1944,1913,1907,1886,1886,1944,-166.54,53.88,71,50-75,35,36,30-60
77,east_london_187a_south_africa.csv,2006,1995,1967,1943,1934,1934,1890,1853,discard ,27.917,-33.017,,,19,,nan
78,esbjerg_130121_denmark.csv,1980,1866,1866,1866,1866,1836,1836,1836,1866,8.4333,55.467,149,125-150,62,87,60-90
79,esperance_010_australia.csv,1995,1994,1994,1953,1921,1906,1906,1879,1953,121.89,-33.861,62,50-75,39,23,0-30
80,"esperanza,argentina_001.csv",2000,2000,2000,1977,1953,1952,1952,1952,discard ,-56.995,-63.395,,,1,,nan
81,"esperence,australia_001.csv",1995,1994,1994,1952,1921,1921,1906,1879,1952,121.9,-33.867,63,50-75,11,52,30-60
82,faraday_700a_united_kingdom.csv,2000,1998,1994,1994,1990,1978,1953,1953,discard ,-64.267,-65.25,,,37,,nan
83,felixstowe_p204_uk.csv,1973,1875,1867,1836,1836,1836,1836,1836,1875,1.3484,51.957,140,125-150,21,119,90-120
84,fernandina_beach_240a_usa.csv,1899,1872,1854,1854,1853,1851,1842,1842,1851,-81.467,30.672,164,150-180,51,113,90-120
85,ferrol_ferrol_spain.csv,1966,1954,1875,1875,1875,1875,1836,1836,1875,-8.326,43.463,140,125-150,8,132,120-160
86,fishguard_p055_uk.csv,1973,1875,1868,1868,1836,1836,1836,1836,1875,-4.9833,52.014,140,125-150,45,95,90-120
87,"flores,santa_cruz_210a_portugal.csv",1954,1944,1944,1944,1872,1860,1854,1836,1860,-31.168,39.378,155,150-180,22,133,120-160
88,formentera_formentera_spain.csv,1899,1899,1875,1853,1853,1853,1853,1853,1853,1.4189,38.735,162,150-180,5,157,120-160
89,fortmyers_usa.csv,1949,1871,1870,1869,1851,1851,1850,1836,1869,-81.871,26.648,146,125-150,17,129,120-160
90,fortpulaski_usa.csv,1947,1946,1946,1946,1872,1850,1842,1842,1872,-80.902,32.033,143,125-150,61,82,60-90
91,"fort_pulaski,ga_752a_usa.csv",1947,1947,1946,1946,1893,1850,1842,1842,1875,-80.902,32.033,140,125-150,72,68,60-90
92,fos_sur_mer_france.csv,2008,1955,1876,1853,1853,1853,1853,1836,1875,4.8929,43.405,140,125-150,3,137,120-160
93,freeport_usa.csv,2007,2007,1887,1887,1876,1853,1850,1836,1876,-95.308,28.948,139,125-150,52,87,60-90
94,fremantle_012_australia.csv,2007,2007,1994,1953,1953,1906,1906,1906,1953,115.75,-32.053,62,50-75,96,-34,(-60)-(-30)
95,fridayharbor_ocean.labs.__usa.csv,1954,1953,1944,1898,1898,1898,1836,1836,1945,-123.01,48.547,70,50-75,20,50,30-60
96,fuerteventura_fuerteventura_spain.csv,2014,2014,2012,1854,1848,1848,1836,1836,1875,-13.85,28.5,140,125-150,11,129,120-160
97,fukaura_japan.csv,1953,1945,1945,1945,1945,1945,1889,1889,1945,139.93,40.65,70,50-75,41,29,0-30
98,funchal_b_218b_portugal.csv,1946,1878,1877,1877,1877,1836,1836,1836,1877,-16.907,32.64,138,125-150,25,113,90-120
99,"galveston,pier_21_775a_usa.csv",2007,1980,1980,1961,1961,1875,1853,1836,1875,-94.79,29.287,140,125-150,102,38,30-60
100,gandia_gandia_spain.csv,1921,1877,1853,1853,1853,1853,1853,1853,1875,-0.152,38.995,140,125-150,7,133,120-160
101,geelong_013_australia.csv,1995,1950,1950,1947,1947,1882,1867,1867,1947,144.36,-38.147,68,50-75,29,39,30-60
102,geraldton_014_australia.csv,2008,2007,2007,1906,1906,1852,1836,1836,discard ,114.61,-28.773,,,39,,nan
103,gijon_gijon_spain.csv,1957,1875,1875,1875,1875,1875,1836,1836,1875,-5.698,43.558,140,125-150,18,122,120-160
104,gisborne_b_078b_new_zealand.csv,1991,1948,1948,1948,1948,1948,1948,1948,1948,178.03,-38.683,67,50-75,7,60,30-60
105,gladstone_p234_uk.csv,1981,1872,1868,1868,1836,1836,1836,1836,1875,-3.018,53.45,140,125-150,18,122,120-160
106,gloucesterpoint_usa.csv,2003,2003,2003,2003,2003,1872,1836,1836,1872,-76.5,37.247,143,125-150,8,135,120-160
107,goteborgtorshamnen_005_sweden.csv,1978,1875,1866,1866,1866,1866,1836,1836,1866,11.8,57.683,149,125-150,48,101,90-120
108,grandisle_usa.csv,2007,2005,2005,2005,1893,1854,1854,1836,1875,-89.957,29.263,140,125-150,34,106,90-120
109,hachinohe_japan.csv,2014,2014,2014,2014,2014,1944,1880,1880,1944,141.53,40.533,71,50-75,50,21,0-30
110,hakodate_japan.csv,2004,1954,1954,1954,1954,1907,1880,1880,1954,140.73,41.783,61,50-75,51,10,0-30
111,hanasaki_japan.csv,1972,1972,1972,1972,1972,1890,1880,1880,1945,145.57,43.283,70,50-75,53,17,0-30
112,heimsjoe_001_norway.csv,1987,1930,1880,1878,1878,1845,1845,1836,1878,9.1014,63.425,137,125-150,45,92,90-120
113,heysham_p050_uk.csv,1973,1973,1868,1868,1868,1836,1836,1836,1875,-2.9204,54.032,140,125-150,35,105,90-120
114,hillarys_132a_australia.csv,2007,2007,1994,1967,1967,1947,1947,1887,discard ,115.74,-31.825,,,22,,nan
115,hobart_016_australia.csv,2001,2001,1950,1947,1947,1867,1867,1852,discard ,147.33,-42.883,,,30,,nan
116,hoekvanholla_hvh_nl.csv,1981,1886,1867,1867,1836,1836,1836,1836,1875,4.12,51.977,140,125-150,45,95,90-120
117,holyhead_p054_uk.csv,2014,1981,1868,1868,1836,1836,1836,1836,1875,-4.6312,53.308,140,125-150,34,106,90-120
118,hong_kong_b_329b_china.csv,1960,1954,1954,1945,1836,1836,1836,1836,1880,114.2,22.3,135,125-150,51,84,60-90
119,honningsvaag_002_norway.csv,1988,1970,1928,1928,1880,1880,1880,1836,1920,25.973,70.98,95,75-100,41,54,30-60
120,hornbaek_838a_denmark.csv,2008,1880,1879,1866,1866,1836,1836,1836,1880,12.467,56.1,135,125-150,115,20,0-30
121,"horta,azores_212a_portugal.csv",1944,1944,1944,1944,1859,1849,1836,1836,1877,-28.622,38.533,138,125-150,2,136,120-160
122,huelva_huelva_spain.csv,1953,1941,1941,1941,1940,1853,1836,1836,1878,-6.834,37.132,137,125-150,18,119,90-120
123,"humboldt_bay,_ca_576a_usa.csv",2012,1951,1900,1900,1836,1836,1836,1836,1935,-124.22,40.767,80,75-100,20,60,30-60
124,ibiza_ibiza_spain.csv,1899,1877,1853,1853,1853,1853,1853,1853,1875,1.4497,38.911,140,125-150,12,128,120-160
125,ilfracombe_p061_uk.csv,1973,1921,1921,1921,1836,1836,1836,1836,1875,-4.1109,51.211,140,125-150,26,114,90-120
126,"ilulissat,greenland_001.csv",1965,1965,1963,1962,1962,1962,1931,1931,1931,-51.1,69.217,84,75-100,3,81,60-90
127,imbituba_718a_brazil.csv,1999,1957,1957,1957,1957,1882,1882,1882,1957,-48.4,-28.133,58,50-75,5,53,30-60
128,imperia_imperia_italy.csv,2008,2008,1877,1853,1853,1853,1836,1836,1877,8.0188,43.878,138,125-150,13,125,120-160
129,jackson_403a_new_zealand.csv,2007,1958,1955,1948,1948,1948,1947,1947,1948,168.62,-43.983,67,50-75,14,53,30-60
130,juneau_usa.csv,1972,1947,1947,1942,1942,1942,1942,1898,1942,-134.41,58.298,73,50-75,35,38,30-60
131,kanmen_a_632a_china.csv,1951,1951,1951,1951,1951,1900,1900,1836,1951,121.28,28.088,64,50-75,24,40,30-60
132,kerguelen_180a_france.csv,2006,2006,1978,1978,1978,1978,1978,1966,discard ,70.22,-49.345,,,19,,nan
133,"ketchikan,ak_571a_usa.csv",1950,1950,1950,1947,1912,1912,1845,1842,1947,-131.63,55.333,68,50-75,71,-3,(-15)-(0)
134,kingedwardpoint_uk.csv,2000,1978,1978,1978,1978,1978,1949,1949,1978,-36.497,-54.283,37,0-50,5,32,30-60
135,kinlochbervi_p918_uk.csv,2012,1981,1868,1848,1845,1845,1845,1845,1870,-5.0504,58.457,145,125-150,20,125,120-160
136,kiptopekebeach_usa.csv,1942,1940,1872,1872,1872,1872,1836,1836,1872,-75.988,37.165,143,125-150,19,124,120-160
137,knysna_186a_south_africa.csv,1995,1994,1978,1967,1953,1934,1890,1890,discard ,23.033,-32.033,,,27,,nan
138,"kodiak_isl.,alaska_039a_usa.csv",1943,1943,1943,1942,1942,1942,1942,1881,1942,-152.51,57.732,73,50-75,33,40,30-60
139,kungsvik_009_sweden.csv,1983,1880,1880,1880,1866,1866,1866,1836,1880,11.127,58.997,135,125-150,42,93,90-120
140,kushiro_japan.csv,1956,1953,1944,1908,1906,1890,1880,1880,1906,144.38,42.967,109,100-125,52,57,30-60
141,l._cornwallis_i._705a_canada.csv,1982,1982,1982,1947,1947,1947,1947,1947,1947,-96.95,75.383,68,50-75,7,61,60-90
142,laohutan_a_631a_china.csv,1969,1969,1902,1902,1901,1901,1880,1880,1950,121.68,38.867,65,50-75,8,57,30-60
143,las_palmas_laspalmas_spain.csv,2010,1877,1875,1875,1875,1848,1848,1836,1875,-15.412,28.141,140,125-150,22,118,90-120
144,la_coruna_830a_spain.csv,1966,1878,1875,1875,1853,1853,1836,1836,1875,-8.4,43.367,140,125-150,68,72,60-90
145,la_rochelle_la_palli_.csv,1908,1875,1875,1853,1853,1853,1836,1836,1875,-1.2206,46.158,140,125-150,26,114,90-120
146,leith_p034_uk.csv,2008,1872,1868,1868,1836,1836,1836,1836,1868,-3.1817,55.99,147,125-150,23,124,120-160
147,lerwick_p041_uk.csv,1987,1987,1869,1869,1845,1845,1845,1836,1869,-1.1333,60.15,146,125-150,48,98,90-120
148,les_sables_d_olonne_.csv,1878,1875,1875,1853,1853,1836,1836,1836,1875,-1.7935,46.497,140,125-150,23,117,90-120
149,"lewes,de_747a_usa.csv",1942,1931,1931,1931,1931,1872,1872,1836,1872,-75.12,38.782,143,125-150,54,89,60-90
150,le_conquet_.csv,1982,1875,1875,1875,1875,1853,1836,1836,1875,-4.7807,48.359,140,125-150,40,100,90-120
151,le_crouesty_.csv,1965,1875,1875,1875,1875,1836,1836,1836,1875,-2.8952,47.543,140,125-150,8,132,120-160
152,le_havre_.csv,1982,1921,1836,1836,1836,1836,1836,1836,1875,0.106,49.482,140,125-150,42,98,90-120
153,lowestoft_p024_uk.csv,1987,1987,1867,1867,1844,1836,1836,1836,1867,1.7508,52.473,148,125-150,51,97,90-120
154,lusi_a_633a_china.csv,1956,1956,1956,1956,1956,1955,1955,1836,1955,121.62,32.133,60,50-75,20,40,30-60
155,lyttelton_667a_new_zealand.csv,1987,1979,1962,1962,1948,1948,1947,1947,1948,172.72,-43.6,67,50-75,18,49,30-60
156,maaloey_003_norway.csv,1979,1872,1872,1872,1845,1836,1836,1836,1880,5.1133,61.934,135,125-150,43,92,90-120
157,mahon_mahon_spain.csv,1957,1899,1899,1899,1899,1853,1836,1836,1899,4.2706,39.893,116,100-125,5,111,90-120
158,maizuru_japan.csv,2003,1948,1945,1945,1944,1900,1880,1836,1945,135.38,35.467,70,50-75,46,24,0-30
159,marsden_point_398a_new_zealand.csv,1995,1955,1955,1948,1948,1948,1948,1948,1948,174.5,-35.833,67,50-75,28,39,30-60
160,marseille_france.csv,2008,1899,1853,1853,1853,1853,1836,1836,1900,5.35,43.3,115,100-125,16,99,90-120
161,mar_del_plata_b_729b_argentina.csv,1979,1978,1956,1956,1956,1956,1956,1956,1956,-57.55,-38.05,59,50-75,6,53,30-60
162,"massacre_bay,ak_550a_usa.csv",1983,1976,1976,1946,1946,1946,1946,1946,1946,173.2,52.833,69,50-75,19,50,30-60
163,mawson_177a_australia.csv,2005,1985,1985,1985,1985,1985,1956,1956,discard ,62.883,-67.6,,,17,,nan
164,"mayport,fl_753a_usa.csv",1972,1899,1899,1899,1851,1850,1850,1836,1875,-81.432,30.395,140,125-150,72,68,60-90
165,melilla_melilla_spain.csv,1960,1921,1853,1853,1853,1853,1853,1836,1877,-2.918,35.291,138,125-150,7,131,120-160
166,milfordhaven_p056_uk.csv,1976,1976,1868,1836,1836,1836,1836,1836,1875,-5.0143,51.702,140,125-150,30,110,90-120
167,millport_p049_uk.csv,1981,1873,1868,1836,1836,1836,1836,1836,1868,-4.9058,55.75,147,125-150,32,115,90-120
168,miyako_japan.csv,1985,1946,1945,1945,1945,1945,1889,1836,1945,141.98,39.65,70,50-75,50,20,0-30
169,monaco_port_hercule_france.csv,2008,2008,1899,1853,1853,1853,1853,1836,1878,7.4215,43.729,137,125-150,22,115,90-120
170,"montauk,ny_279a_usa.csv",1940,1938,1872,1872,1872,1872,1872,1836,1872,-71.96,41.048,143,125-150,45,98,90-120
171,"monterey,ca_555a_usa.csv",2012,1998,1941,1941,1941,1939,1848,1836,1939,-121.89,36.605,76,75-100,39,37,30-60
172,morayfirth_p207_uk.csv,2012,1872,1868,1848,1845,1836,1836,1836,1870,-4.0022,57.599,145,125-150,5,140,120-160
173,mossel_bay_185a_south_africa.csv,2007,1978,1978,1978,1978,1978,1978,1890,1978,22.133,-34.183,37,0-50,31,6,0-30
174,mumbles_p932_uk.csv,1973,1973,1921,1921,1836,1836,1836,1836,1875,-3.9754,51.57,140,125-150,15,125,120-160
175,nantucketisland_usa.csv,1949,1933,1933,1933,1931,1872,1836,1836,1872,-70.097,41.285,143,125-150,48,95,90-120
176,napier_668a_new_zealand.csv,2001,1953,1948,1948,1948,1948,1948,1948,1948,176.92,-39.483,67,50-75,20,47,30-60
177,napoli_napoli_italy.csv,2014,1877,1853,1853,1852,1852,1852,1836,1877,14.269,40.841,138,125-150,20,118,90-120
178,"neah_bay,wa_558a_usa.csv",1957,1949,1949,1911,1911,1898,1836,1836,1950,-124.62,48.368,65,50-75,75,-10,(-15)-(0)
179,nelson_077a_new_zealand.csv,1974,1973,1955,1955,1948,1948,1948,1948,1948,173.27,-41.267,67,50-75,15,52,30-60
180,newhaven_p011_uk.csv,1982,1875,1866,1836,1836,1836,1836,1836,1865,0.05703,50.782,150,125-150,26,124,120-160
181,newlondon_usa.csv,1950,1950,1950,1950,1950,1872,1872,1872,1872,-72.09,41.361,143,125-150,61,82,60-90
182,newlyn_p001_uk.csv,1925,1921,1875,1875,1875,1875,1836,1836,1875,-5.5417,50.102,140,125-150,74,66,60-90
183,"newport,ri_253a_usa.csv",1950,1950,1949,1872,1872,1872,1872,1872,1872,-71.327,41.505,143,125-150,77,66,60-90
184,newport_usa.csv,1941,1941,1941,1872,1872,1872,1872,1872,1872,-71.327,41.505,143,125-150,61,82,60-90
185,newyork_thebattery__usa.csv,1935,1931,1931,1872,1872,1872,1872,1872,1872,-74.014,40.701,143,125-150,60,83,60-90
186,"new_london,ct_744a_usa.csv",1950,1950,1950,1950,1950,1872,1872,1836,1872,-72.087,41.355,143,125-150,69,74,60-90
187,"new_york,ny_745a_usa.csv",1933,1932,1931,1931,1872,1872,1872,1836,1872,-74.015,40.7,143,125-150,71,72,60-90
188,nice_france.csv,2008,2008,1878,1853,1853,1853,1853,1836,1877,7.2853,43.696,138,125-150,15,123,120-160
189,"nome,ak_595a_usa.csv",1943,1943,1943,1935,1934,1913,1913,1836,1935,-165.43,64.5,80,75-100,15,65,60-90
190,northshields_p032_uk.csv,2008,1872,1868,1868,1836,1836,1836,1836,1868,-1.4398,55.007,147,125-150,39,108,90-120
191,noto_japan.csv,1980,1980,1980,1980,1945,1945,1900,1900,1945,137.15,37.5,70,50-75,16,54,30-60
192,"ny_alesund,norway_001.csv",2014,2014,2014,2014,2014,1930,1880,1836,discard ,11.95,78.933,,,23,,nan
193,ofunato_japan.csv,1945,1945,1945,1945,1945,1945,1945,1889,1945,141.72,39.067,70,50-75,47,23,0-30
194,onahama_japan.csv,1946,1946,1945,1945,1945,1945,1889,1880,1945,140.9,36.933,70,50-75,52,18,0-30
195,ortona_ortona_italy.csv,1988,1878,1853,1853,1852,1852,1852,1836,1875,14.415,42.356,140,125-150,13,127,120-160
196,oslo_004_norway.csv,1880,1880,1880,1880,1866,1866,1866,1836,1880,10.734,59.909,135,125-150,42,93,90-120
197,otaru_japan.csv,1954,1945,1908,1908,1907,1907,1880,1880,1907,141,43.2,108,100-125,17,91,90-120
198,palermo_palermo_italy.csv,2014,1988,1852,1852,1852,1852,1852,1836,1875,13.371,38.121,140,125-150,12,128,120-160
199,palma_de_mallorca_palmademallorca_spain.csv,1958,1899,1899,1877,1853,1853,1853,1853,1877,2.6375,39.56,138,125-150,5,133,120-160
200,panama_city_beach_761a_usa.csv,2005,2005,1906,1869,1869,1854,1851,1851,1869,-85.88,30.213,146,125-150,15,131,120-160
201,"pensacola,fl_762a_usa.csv",1938,1935,1876,1869,1860,1854,1854,1836,1869,-87.213,30.403,146,125-150,85,61,60-90
202,ponta_delgada_211a_portugal.csv,1946,1944,1944,1944,1855,1849,1849,1836,1877,-25.672,37.735,138,125-150,19,119,90-120
203,portadelaideouter_020_australia.csv,1950,1950,1950,1947,1947,1947,1867,1867,1947,138.6,-34.926,68,50-75,69,-1,(-15)-(0)
204,"portelizabeth,southafrica_001.csv",2014,2006,1978,1953,1953,1934,1914,1890,discard ,25.63,-33.96,,,13,,nan
205,portellen_p202_uk.csv,2012,2012,1869,1848,1836,1836,1836,1836,1875,-6.1901,55.627,140,125-150,19,121,120-160
206,porterin_p919_uk.csv,1985,1985,1868,1868,1836,1836,1836,1836,1836,-4.7681,54.085,179,150-180,19,160,120-160
